# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.27480452321637416 2.13623046875 1.7320473575348344e-07 2.7591382265318362e-09 3.7565397874504985e-10 2.7845932674012253e-09 0.00020668624786743687
0.43837864417850164 0.133514404296875 3.799132214311273e-07 6.578230689558695e-09 4.2078252137610995e-10 6.591674820206736e-09 6.007669506394938e-05
0.6019527651406291 0.05245208740234375 6.774065755487969e-07 1.6384112577330985e-08 1.5351552527407126e-08 2.2452378714701823e-08 0.21613128410520605
0.7655268861027567 0.05245208740234375 8.975296541093897e-07 2.7156796097658403e-08 7.188635258252996e-08 7.684490394235395e-08 0.42691024238507114
0.9291010070648841 0.05245208740234375 9.854265414953658e-07 4.187078387476884e-08 5.141592218005195e-08 6.63080658435515e-08 0.6207916228956305
1.0926751280270115 0.05245208740234375 1.1460990710690699e-06 6.135895115276118e-08 1.4877505056123022e-07 1.6093146540084552e-07 0.7550130884821699
1.256249248989139 0.05245208740234375 1.5545254630622614e-06 6.950991197124048e-08 3.784181226871412e-07 3.8474914352121676e-07 0.838934791091734
1.4198233699512666 0.05245208740234375 2.0002306449934686e-06 7.5307085188539e-08 3.3532366741833584e-07 3.436758923906019e-07 0.8896341816636668
1.583397490913394 0.05245208740234375 2.0490816872572792e-06 9.638346311299284e-08 7.072489824665064e-08 1.195482463010342e-07 0.919406687717583
1.7469716118755216 0.05245208740234375 1.4695929972883444e-06 1.1179074685341319e-07 6.128270656644536e-07 6.229399517553426e-07 0.9366780770360902
1.9105457328376492 0.05245208740234375 3.8880637577560576e-07 1.0600462852137965e-07 9.81885347150349e-07 9.875909154181792e-07 0.9467619025297229
2.0741198537997763 0.05245208740234375 -8.725447333759761e-07 8.490479237047236e-08 1.0209410991342193e-06 1.0244654955970265e-06 0.9527416231179721
2.237693974761904 0.05245208740234375 -2.0175770878428316e-06 6.454476343713188e-08 7.615545652752589e-07 7.642848829976581e-07 0.9563497914803464
2.4012680957240313 0.05245208740234375 -2.8766539618029636e-06 5.929780061711336e-08 3.328856017436733e-07 3.381257946479008e-07 0.9585624424757535
2.564842216686159 0.05245208740234375 -3.4041539175034162e-06 6.651735488514944e-08 1.3200519756401652e-07 1.4781722052870548e-07 0.9599385799338443
