Ens,Z_PS_fund,Z_V_fund,Z_A_fund,Z_PS_as,Z_V_as,Z_A_as,Z_Lambda,Z_Sigma
M1,0.736613915671393,0.657531494649845,0.736613915671393,0.578582265074229,0.452050391439753,0.578582265074229,0.260587687913901,0.857192131672752
M2,0.736615716072536,0.657531494649845,0.736615716072536,0.578585145716057,0.452050391439753,0.578585145716057,0.260592742238524,0.857193107849797
M3,0.736608739380995,0.657531494649845,0.736608739380999,0.578573983009599,0.452050391439753,0.578573983009599,0.260573156345698,0.85718932508941
M4,0.736193298596622,0.657531494649845,0.736193298596622,0.577909277754596,0.452050391439753,0.577909277754596,0.25940687593383,0.856964073201162
M5,0.737024219869946,0.657531494649845,0.737024219869946,0.579238751791913,0.452050391439753,0.579238751791913,0.261739548221494,0.857414598505464
