Ensemble,g5_fund_ratio1,g5_fund_ratio2,gi_fund_ratio1,gi_fund_ratio2,g0gi_fund_ratio1,g0gi_fund_ratio2,g5gi_fund_ratio1,g5gi_fund_ratio2,g0g5gi_fund_ratio1,g0g5gi_fund_ratio2,id_fund_ratio1,id_fund_ratio2,g5_as_ratio1,g5_as_ratio2,gi_as_ratio1,gi_as_ratio2,g0gi_as_ratio1,g0gi_as_ratio2,g5gi_as_ratio1,g5gi_as_ratio2,g0g5gi_as_ratio1,g0g5gi_as_ratio2,id_as_ratio1,id_as_ratio2
M1,1.31,1.71,1.2,,1.33,1.78,1.24,,1.31,1.77,1.23,,1.31,1.71,1.2,,1.33,1.78,1.24,,1.31,1.77,1.23,
M2,1.32,1.71,1.2,,1.35,1.69,1.24,,1.3,1.7,1.22,,1.32,1.71,1.2,,1.35,1.69,1.24,,1.3,1.7,1.22,
M3,1.3,1.71,1.2,1.4,1.31,1.61,1.24,,1.29,1.62,1.25,,1.3,1.71,1.2,1.4,1.31,1.61,1.24,,1.29,1.62,1.25,
M4,1.25,1.67,1.21,,1.29,,1.22,,1.24,,1.25,,1.25,1.67,1.21,,1.29,,1.22,,1.24,,1.25,
M5,1.37,1.79,1.23,1.24,1.36,1.81,1.25,1.25,1.3,1.82,1.28,,1.37,1.79,1.23,1.24,1.36,1.81,1.25,1.25,1.3,1.82,1.28,
