# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.20529124800336718 0.05245208740234375 1.943864238997776e-07 1.0220618305174508e-07 7.096054711880034e-08 1.2442468847220918e-07 0.0005573730695135983
0.32748841943394286 0.05245208740234375 -4.508447583516665e-07 2.823664634794594e-08 1.2055273658410316e-08 3.070240739678455e-08 0.002076520906323327
0.44968559086451854 0.05245208740234375 -1.4907098171937718e-06 5.5951178433660196e-08 2.1872271757299954e-08 6.00743759013813e-08 0.0165530373364195
0.5718827622950943 0.05245208740234375 -4.00079877854404e-06 1.324911976113096e-07 5.180753196726705e-07 5.347484963030927e-07 0.07662193849739732
0.69407993372567 0.05245208740234375 -8.68297748543817e-06 2.62541718368966e-07 9.346839959683996e-07 9.70856491044678e-07 0.2166134807001759
0.8162771051562456 0.05245208740234375 -1.2620153328116057e-05 4.2546824412547914e-07 1.16953277031538e-06 1.2445200390515156e-06 0.4199573504267247
0.9384742765868214 0.05245208740234375 -1.113953310344472e-05 5.67637352209093e-07 6.074406384032772e-06 6.100870846199012e-06 0.629558913451355
1.060671448017397 0.05245208740234375 -6.0873136725315375e-06 7.779594674112139e-07 7.796293563444896e-06 7.835012077868615e-06 0.8064387603604577
1.1828686194479727 0.05245208740234375 -7.58630871547317e-06 1.145616858425936e-06 2.0684492553663951e-07 1.1641403736362592e-06 0.9409756883145041
1.3050657908785483 0.05245208740234375 -2.3579766694399075e-05 1.4155048145431998e-06 1.528695831216441e-05 1.5352353185028266e-05 1.0361322580000616
1.4272629623091242 0.05245208740234375 -5.0164754483793444e-05 1.430520755471207e-06 2.6143962930379297e-05 2.6183070624678092e-05 1.0995515464758698
1.5494601337396996 0.05245208740234375 -7.410476598587848e-05 1.3748932077076545e-06 2.3227562654965665e-05 2.326821863020365e-05 1.1402470773706843
1.6716573051702754 0.05245208740234375 -8.28278884019679e-05 1.4791316989806185e-06 6.3307752598744156e-06 6.501272642642151e-06 1.1659614313240796
1.7938544766008513 0.05245208740234375 -7.142491490426789e-05 1.6468498447883526e-06 1.690541192250146e-05 1.6985436899907343e-05 1.1822071766095639
1.916051648031427 0.05245208740234375 -4.287787798641022e-05 1.6988162372665588e-06 3.722804505836999e-05 3.726678568747279e-05 1.1925499802407455
