# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.2794757429534304 0.05245208740234375 1.877415671793944e-07 1.4581729753074687e-08 5.846523421074133e-09 1.571014572513164e-08 0.08114546676466067
0.4458303518542818 0.05245208740234375 3.698092492294878e-07 3.362932751271499e-08 2.60117723361724e-08 4.251522043958273e-08 1.791602121814279
0.6121849607551333 0.05245208740234375 1.1702625041751842e-06 4.631861378987886e-08 1.1930646406269625e-07 1.279822110707554e-07 0.07918666549325488
0.7785395696559847 0.05245208740234375 1.8769205074347224e-06 5.173441703112681e-08 1.1477742399541645e-07 1.258980022263028e-07 7.729609244647893
0.9448941785568361 0.05245208740234375 1.5366914329236527e-06 7.848639494182792e-08 2.2786414138448757e-07 2.410024504436715e-07 8.48287556731272
1.1112487874576875 0.05245208740234375 1.6616450294648708e-06 8.506064612053568e-08 4.077356708658918e-07 4.1651373424522494e-07 8.840252672666098
1.277603396358539 0.05245208740234375 2.1492850885918745e-06 6.756987671715454e-08 6.103950320722908e-07 6.141235896935602e-07 9.044644325433124
1.4439580052593903 0.05245208740234375 2.119132336846928e-06 7.769102948929212e-08 4.670895206734066e-08 9.065110184843417e-08 9.1669924157325
1.6103126141602417 0.05245208740234375 1.350592003870951e-06 8.604368255794534e-08 6.955361981013385e-07 7.008381540536994e-07 9.241266284492738
1.7766672230610931 0.05245208740234375 1.6269438235334898e-07 7.625796014979344e-08 1.1088276217758657e-06 1.1114467919335274e-06 9.286944433584877
1.9430218319619446 0.05245208740234375 -1.0516701216977779e-06 5.796374792754219e-08 1.0776533557171235e-06 1.0792110781316992e-06 9.31544518535638
2.1093764408627957 0.05245208740234375 -2.0430579534791066e-06 4.450000740203314e-08 7.281970399895572e-07 7.29555467191038e-07 9.333483232012691
2.2757310497636474 0.05245208740234375 -2.719075280776447e-06 4.2742437432737794e-08 2.4132005347925704e-07 2.4507607832859366e-07 9.345047102718087
2.442085658664499 0.05245208740234375 -3.08912710845769e-06 4.725765551248775e-08 2.4205142491201393e-07 2.466215284732322e-07 9.352543520123922
2.60844026756535 0.05245208740234375 -3.2098628586471155e-06 5.119016427917482e-08 6.422682138252703e-07 6.443049677049154e-07 9.357450040442936
