# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.23388888231337798 0.05245208740234375 -9.39092481493054e-08 7.1247743831681345e-09 2.311964078697024e-09 7.490499843951287e-09 0.002897801115723602
0.3731084551189601 0.05245208740234375 -2.299739254307717e-07 4.8220629481964215e-09 5.458017168148967e-09 7.2830105371458604e-09 0.020072838557778364
0.5123280279245422 0.05245208740234375 -5.543466663755472e-07 9.882042924903936e-09 3.005664590824622e-08 3.1639480647180953e-08 0.06984531660841561
0.6515476007301244 0.05245208740234375 -1.06799705555308e-06 1.87279984519682e-08 2.3009685005982677e-08 2.9667887186172652e-08 0.1364076468767252
0.7907671735357066 0.05245208740234375 -1.3716278539435359e-06 3.479630006618857e-08 1.4024892789539223e-07 1.4450101824590427e-07 0.18776739375013615
0.9299867463412888 0.05245208740234375 -9.750164918304724e-07 4.709597133169924e-08 3.614987183726958e-07 3.6455363652112683e-07 0.2540791270782095
1.0692063191468708 0.05245208740234375 -1.8059404293577858e-07 5.924581876155209e-08 1.9274832750405482e-07 2.0164817082318663e-07 0.37959640843354503
1.2084258919524529 0.05245208740234375 -1.274127753945809e-07 8.739811232395434e-08 6.031715040148824e-07 6.094705023980783e-07 0.5434198267964727
1.3476454647580351 0.05245208740234375 -1.561209879414002e-06 1.0643944991880023e-07 1.5148865744321085e-06 1.5186213122084336e-06 0.6967985085191324
1.4868650375636172 0.05245208740234375 -3.897412380106471e-06 1.0324016578887064e-07 1.669983681775463e-06 1.6731718468909415e-06 0.8148401407049776
1.6260846103691995 0.05245208740234375 -5.699308088507365e-06 1.0361694911653991e-07 6.879649202519868e-07 6.957242295921152e-07 0.8973479680390033
1.7653041831747815 0.05245208740234375 -5.821883039641997e-06 1.2210560751635412e-07 1.0236526656590943e-06 1.0309095786236091e-06 0.9528201951694524
1.9045237559803636 0.05245208740234375 -4.0343050235738e-06 1.3605110910681488e-07 2.6806635866586328e-06 2.6841138517445045e-06 0.9896683488630543
2.0437433287859457 0.05245208740234375 -8.682177259964139e-07 1.3162246416881557e-07 3.6622471062606992e-06 3.6646116220397403e-06 1.0141105772707601
2.182962901591528 0.05245208740234375 2.8598675210384703e-06 1.1233322401347604e-07 3.749200178937331e-06 3.7508826607827895e-06 1.030366862494617
