# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.2537206698714171 8.544921875 5.8366212812700025e-08 8.788804614246705e-10 5.304570684416109e-10 1.0265551942948366e-09 0.00023797904609861137
0.404744878128213 0.05245208740234375 1.463351501352974e-07 3.095169351504874e-09 4.11560012731817e-09 5.149586170021474e-09 0.03286144774178724
0.5557690863850089 0.133514404296875 3.180192366427275e-07 5.106166548085339e-09 6.357070657250727e-09 8.153850879067138e-09 4.1585754686033605e-05
0.7067932946418047 0.05245208740234375 5.38468220086966e-07 1.2665658086862626e-08 3.014642884568988e-09 1.3019484110163162e-08 0.29044583285886166
0.8578175028986006 0.05245208740234375 6.869210999029311e-07 1.8784285885037773e-08 5.271760835823486e-08 5.596423525094454e-08 0.4393367994863727
1.0088417111553964 0.133514404296875 6.673458242920238e-07 1.9141585864485942e-08 3.962609066507422e-08 4.400712863621268e-08 0.003938084991935713
1.1598659194121925 0.05245208740234375 5.587179278378736e-07 4.108452964502045e-08 9.91733813747026e-09 4.2264549824711095e-08 0.6581304334286383
1.3108901276689884 0.05245208740234375 5.656558766728191e-07 5.4539677393347605e-08 2.0769285669795678e-07 2.1473448519864816e-07 0.7598249570540354
1.4619143359257842 0.05245208740234375 7.276465603244006e-07 5.1666545282170424e-08 3.319336982168499e-07 3.3593066533633e-07 0.8438173888885862
1.61293854418258 0.05245208740234375 8.879976655549998e-07 4.896247487176952e-08 2.369854835734816e-07 2.4199058529233237e-07 0.08341736560921705
1.763962752439376 0.05245208740234375 8.591364011412851e-07 6.10500390063032e-08 4.398734917445222e-08 7.524622349371645e-08 0.94851624794319
1.9149869606961718 0.05245208740234375 5.753035394829384e-07 7.047324577294276e-08 3.549175726826734e-07 3.618465997750073e-07 0.978036120768347
2.0660111689529677 0.05245208740234375 1.0172651783489146e-07 6.728812194397557e-08 5.547304065363881e-07 5.587964882591638e-07 0.9982479654737103
2.2170353772097635 0.05245208740234375 -4.4052812088167765e-07 5.444110454242038e-08 5.902743261280839e-07 5.927795660696836e-07 1.0120928402021176
2.3680595854665594 0.05245208740234375 -9.436197514012755e-07 3.9561468861219e-08 4.854720658846566e-07 4.870813449237957e-07 1.0215818059406674
