# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.304817087598525 0.06666666666666668 1.240715259544266e-06 1.6132600659679392e-08 5.014825953431372e-08 5.2679300853044493e-08 0.0003897972409254647
0.5418970446196 0.06666666666666668 3.254467947562794e-06 2.603062471428782e-08 5.521394134651746e-08 6.104238479968457e-08 0.00023783529381823636
0.778977001640675 0.06666666666666668 7.471363471583497e-06 8.806781932397554e-08 1.684440306699892e-07 1.900771745077053e-07 0.004293887355713145
1.01605695866175 0.06666666666666668 1.055222066760998e-05 2.2300768865492785e-07 3.508175228906085e-07 4.156986451340873e-07 0.06038400918675831
1.2531369156828251 0.06666666666666668 1.5619814751950325e-05 2.645832845205751e-07 2.6790750106472235e-06 2.6921083238090764e-06 0.31903773334143215
1.4902168727039 0.06666666666666668 1.4189514584134758e-05 3.054530954987511e-07 9.037811445950327e-09 3.0558677259577467e-07 0.634539167906578
1.7272968297249751 0.06666666666666668 4.017803458040305e-06 3.097365050337919e-07 5.0337648278949026e-06 5.043285144139914e-06 1.1886513804088095
1.96437678674605 0.06666666666666668 -8.01757256657955e-06 2.458908623010719e-07 5.738924886012375e-06 5.7441902095469744e-06 1.8057999763047305
2.201456743767125 0.06666666666666668 -1.68602473188142e-05 2.3248465353609747e-07 2.4750726186027688e-06 2.4859673331496063e-06 2.160001097402823
2.4385367007882 0.06666666666666668 -2.133963454871025e-05 2.6279092975266704e-07 1.935193743355718e-06 1.95295517026976e-06 2.403758473912092
