# estar	 lambda	 rho	 errBayes	 errBoot	 A/A0	 likelihood

0.51225 10000.0 1.8837572871200664e-07 1.122788259328833e-09 8.536216911489294e-10 2.4683938989177197 7715.0801194725145
0.51225 5000.0 2.317141903714969e-07 1.422906610438925e-09 1.1686156450206892e-09 1.8470186728607385 4533.415842576064
0.51225 4687.5 2.35542655878947e-07 1.4535454344484133e-09 1.1986672409447402e-09 1.7993694442801513 4294.267084135746
0.51225 3437.5 2.530923283870388e-07 1.60874348669819e-09 1.3416148473221829e-09 1.5973727811388156 3266.044782741316
0.51225 2187.5 2.7557373374218526e-07 1.8642712319951693e-09 1.5422037226607924e-09 1.3767977588545335 2091.503832346699
0.51225 937.5 3.0657922572531953e-07 2.483575500979689e-09 1.9169092831173797e-09 1.1180813262061904 700.656754428227
0.51225 859.375 3.089825662186527e-07 2.5607832264902144e-09 1.9597416659873575e-09 1.0974646474590588 603.7102177170842
0.51225 546.875 3.194457511230576e-07 3.0118618861355006e-09 2.216810262004784e-09 0.9962483452312533 200.09554176319705
0.51225 234.375 3.31431966086163e-07 4.116194698850418e-09 2.9666877282986535e-09 0.8097041200695962 -234.42070115331634
0.51225 214.84375 3.321992475485225e-07 4.2506636200960815e-09 3.0699075979336965e-09 0.79036641981699 -262.8390357290848
0.51225 136.71875 3.350480624249334e-07 5.0176473238524394e-09 3.688346933237412e-09 0.6919208106945788 -378.16530603526553
0.51225 58.59375 3.361094916517742e-07 6.8047749664594985e-09 5.162941492290569e-09 0.5321298979316391 -495.74938530584035
0.51225 53.7109375 3.359504693158912e-07 7.018451240304129e-09 5.334805582986608e-09 0.5181288267704461 -503.11536688153194
0.51225 34.1796875 3.344152955037386e-07 8.236356492366646e-09 6.302259866903179e-09 0.4516005810158734 -532.3914224546597
0.51225 14.6484375 3.287295770170386e-07 1.109127101265179e-08 8.608070904823893e-09 0.3467678326759869 -560.5853539346031
0.51225 13.427734375 3.2798097653966713e-07 1.1432903721915951e-08 8.887845100095379e-09 0.3372714907688301 -562.238291454479
0.51225 8.544921875 3.2380226790526815e-07 1.3377577361568357e-08 1.0440292622106392e-08 0.2928487288502208 -568.4869310038549
0.51225 3.662109375 3.1576366623962035e-07 1.8024857876855705e-08 1.3415652713225408e-08 0.23692499170056297 -573.237907871073
0.51225 3.35693359375 3.149890848437508e-07 1.8602452299299355e-08 1.3697731002502933e-08 0.23321390971193023 -573.3966252440897
0.51225 2.13623046875 3.111865907358766e-07 2.201845276306024e-08 1.5049690534482584e-08 0.21866722317133774 -573.5846851924283
