# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.2273839764003417 0.05245208740234375 3.8432422350371054e-08 3.0643383912285943e-09 1.775399241151002e-08 1.80165039983875e-08 0.01645889983148574
0.36273158140054507 0.05245208740234375 -4.331229141390139e-08 2.031263162466391e-09 2.063304700663436e-08 2.0732791872132807e-08 0.11670957046914124
0.4980791864007485 0.05245208740234375 -1.8378746898588016e-07 5.702537635067854e-09 2.087560028536785e-08 2.1640462627998865e-08 0.8256855954223545
0.6334267914009519 0.05245208740234375 -5.351738844174352e-07 8.741744446220662e-09 9.428084170782511e-08 9.468524282642467e-08 2.360607283063894
0.7687743964011553 0.05245208740234375 -8.905314753199824e-07 2.2227646840405313e-08 5.1500609558721934e-08 5.609261153647333e-08 3.7532005741239933
0.9041220014013587 0.05245208740234375 -5.672376987658458e-07 2.4391286359566328e-08 3.9289988385227336e-07 3.9365626323152067e-07 0.07117937567018898
1.0394696064015623 0.05245208740234375 -5.320376803722345e-07 3.7238629474558134e-08 1.5721197821581242e-07 1.6156212928676234e-07 5.462986282406968
1.1748172114017654 0.05245208740234375 -1.3965767320440916e-06 4.369057345515257e-08 1.0415828144534642e-06 1.0424987412815613e-06 5.951595868348002
1.310164816401969 0.057220458984375 -2.384556402171638e-06 3.170212833639965e-08 1.0434211576340927e-06 1.0439026473476956e-06 6.277918312728446
1.4455124214021722 0.05245208740234375 -2.63317098898251e-06 4.2088425999404387e-08 2.2623149232243804e-07 2.3011328453947347e-07 6.492195130682475
1.5808600264023758 0.05245208740234375 -1.8048069169095291e-06 4.535001528777598e-08 9.953233362529748e-07 9.963559442169018e-07 6.632108781586875
1.716207631402579 0.05245208740234375 -1.8552670889118138e-07 4.481239758733041e-08 1.9163043775920293e-06 1.916828270491621e-06 6.723567984396456
1.8515552364027825 0.05245208740234375 1.7696842743775447e-06 4.0763655887433004e-08 2.241638523705255e-06 2.2420091316943346e-06 6.783645355269618
1.9869028414029861 0.05245208740234375 3.6648975489909543e-06 3.662032849456451e-08 1.986495601119749e-06 1.9868331137081347e-06 6.823383743135105
2.1222504464031893 0.05245208740234375 5.2507545362640126e-06 3.519440515116852e-08 1.3246615051186666e-06 1.325128955723629e-06 6.849881561367703
