ENS,Nt,Ns,beta,f_bare_mass,f_epsilon,t0_GEVP,g5_E0_ti,g5_E0_tf,g5_E0_chisquare/dof,g5_E0,g5_E0_error,g5_E1_ti,g5_E1_tf,g5_E1_chisquare/dof,g5_E1,g5_E1_error,g5_E2_ti,g5_E2_tf,g5_E2_chisquare/dof,g5_E2,g5_E2_error,gi_E0_ti,gi_E0_tf,gi_E0_chisquare/dof,gi_E0,gi_E0_error,gi_E1_ti,gi_E1_tf,gi_E1_chisquare/dof,gi_E1,gi_E1_error,gi_E2_ti,gi_E2_tf,gi_E2_chisquare/dof,gi_E2,gi_E2_error,g0gi_E0_ti,g0gi_E0_tf,g0gi_E0_chisquare/dof,g0gi_E0,g0gi_E0_error,g0gi_E1_ti,g0gi_E1_tf,g0gi_E1_chisquare/dof,g0gi_E1,g0gi_E1_error,g0gi_E2_ti,g0gi_E2_tf,g0gi_E2_chisquare/dof,g0gi_E2,g0gi_E2_error,g5gi_E0_ti,g5gi_E0_tf,g5gi_E0_chisquare/dof,g5gi_E0,g5gi_E0_error,g5gi_E1_ti,g5gi_E1_tf,g5gi_E1_chisquare/dof,g5gi_E1,g5gi_E1_error,g5gi_E2_ti,g5gi_E2_tf,g5gi_E2_chisquare/dof,g5gi_E2,g5gi_E2_error,g0g5gi_E0_ti,g0g5gi_E0_tf,g0g5gi_E0_chisquare/dof,g0g5gi_E0,g0g5gi_E0_error,g0g5gi_E1_ti,g0g5gi_E1_tf,g0g5gi_E1_chisquare/dof,g0g5gi_E1,g0g5gi_E1_error,g0g5gi_E2_ti,g0g5gi_E2_tf,g0g5gi_E2_chisquare/dof,g0g5gi_E2,g0g5gi_E2_error,id_E0_ti,id_E0_tf,id_E0_chisquare/dof,id_E0,id_E0_error,id_E1_ti,id_E1_tf,id_E1_chisquare/dof,id_E1,id_E1_error,id_E2_ti,id_E2_tf,id_E2_chisquare/dof,id_E2,id_E2_error
64x20x20x20b6.5mf0.70mas1.01,64,20,6.5,-0.7,0.2,1,24,30,0.945236804602038,0.409615806278953,0.0011311031234527,8,18,1.1226493581485,0.7348253449471,0.00863429615592632,0,0,0,0,0,19,26,0.344235247270159,0.447456042827691,0.00142283030034237,8,16,0.651250433436998,0.743859798848407,0.00804941503678704,0,0,0,0,0,17,26,0.640154592965573,0.446350011175388,0.00134242388647591,8,14,0.901481597176774,0.741016350287236,0.00984088588832033,9,12,0.822724354736994,0.971246742356993,0.0580887383020681,9,15,1.26378441559668,0.60162844600507,0.00880123382367607,11,15,0.102281553268822,0.80926982864672,0.0160814242233982,0,0,0,0,0,10,17,1.31442306590997,0.614127518498115,0.00950255140391077,8,11,0.481537437253113,0.857387533801714,0.014125467408147,0,0,0,0,0,10,20,2.83678065417296,0.580123122108413,0.0101690794247738,6,8,0.124412414214224,0.752437196158828,0.0181505129671217,0,0,0,0,0
48x20x20x20b6.5mf0.71mas1.01,48,20,6.5,-0.71,0.2,1,14,24,1.85404295185027,0.367812059761607,0.00176246594424297,6,14,1.11440442689224,0.66131159483632,0.0256448693314681,0,0,0,0,0,21,24,1.4501481781786,0.402779011374452,0.0024833812508123,7,11,1.5313605408325,0.729315236469608,0.00653353868367022,0,0,0,0,0,15,24,1.03004588799206,0.405150882594053,0.00160379079354753,7,11,1.03154266611208,0.725840720103421,0.00801660102773133,0,0,0,0,0,9,18,0.912218895088724,0.548547450635721,0.00811686041932416,7,14,0.972848399299305,0.743271539047774,0.0448464366661088,0,0,0,0,0,8,17,2.31071313659562,0.551476401674857,0.00734367206918789,7,13,0.670760091058154,0.76823807080068,0.0477482845934809,0,0,0,0,0,9,18,0.589331566302837,0.524148045443704,0.00640406861963567,8,12,0.195051593866323,0.748437196158828,0.0145505129671217,0,0,0,0,0
64x20x20x20b6.5mf0.71mas1.01,64,20,6.5,-0.71,0.2,1,26,32,0.697810603014062,0.36562895182088,0.00121580680662752,7,12,0.969934413042461,0.688375749563357,0.0102054221535535,0,0,0,0,0,22,32,2.73034993181957,0.403466866243189,0.00143166645418671,8,13,1.2808607819949,0.701494806671398,0.00721804005942594,0,0,0,0,0,22,31,2.8108941703748,0.403282525444083,0.00158111752933723,8,15,1.0527680514464,0.697657602284918,0.00885582116802722,0,0,0,0,0,8,17,1.05837926834818,0.542320708342125,0.00901685150822757,7,11,0.963388984609549,0.772259284579506,0.0300449724380592,0,0,0,0,0,8,19,1.13012919438855,0.547743749329641,0.00845356773353934,7,13,1.20587250094584,0.7892478236025,0.0398530087497955,0,0,0,0,0,8,18,0.710932668937066,0.522237111659271,0.00781275716197625,7,14,0.579128402644873,0.783816715768827,0.0252064896065289,0,0,0,0,0
96x20x20x20b6.5mf0.71mas1.01,96,20,6.5,-0.71,0.2,1,28,40,0.809165892283455,0.366587399919579,0.0081264595433185,8,16,0.718681365430281,0.685222516709401,0.0087178998206562,0,0,0,0,0,10,22,0.483144821347843,0.40353251541493,0.00144937412550829,11,20,0.913374227102913,0.667387854036546,0.019190162508859,9,13,0.668539018506942,1.01977973122316,0.047019095762097,10,22,0.587739599997546,0.403028592927833,0.001528980641046,11,17,0.661229900266696,0.672965753100187,0.0244792493671084,9,12,0.161937959057482,0.985899264911082,0.0655414690891777,10,20,0.315703539061942,0.535230607116139,0.00470487466880682,8,14,1.28304357250508,0.784325440612107,0.0125809749929407,0,0,0,0,0,10,19,0.807131244158401,0.548658781318257,0.00471844807209463,8,14,1.40849171911237,0.796379646828897,0.023246309456291,0,0,0,0,0,10,20,0.206541431660237,0.516300388643036,0.00451016250553779,8,14,0.473177875460568,0.793438449978257,0.0333446622530799,0,0,0,0,0
64x32x32x32b6.5mf0.72mas1.01,64,32,6.5,-0.72,0.24,1,19,31,0.957034568643995,0.310252458177106,0.000630340086409302,9,16,0.125523600744623,0.62636481277922,0.0142512221701321,0,0,0,0,0,21,31,0.852505804627298,0.351261924838624,0.00103961962114737,12,16,0.00323713722658398,0.64928022826975,0.0178196447417061,10,13,0.044483952524146,0.898240334807663,0.0497205647176175,20,28,0.765680871430335,0.349739772623908,0.00120126685758314,9,15,0.298261222400937,0.651159346501207,0.0102880625460973,10,13,0.242167766788402,0.847542826077694,0.0711220317413889,9,18,0.715206017862731,0.51113810179582,0.00293300497543609,7,14,0.685945484007951,0.773348890503015,0.0080959056660861,0,0,0,0,0,11,22,1.03812756392928,0.519123704853224,0.0033200802642835,7,12,1.69095897625821,0.77782565118182,0.00913769534159632,9,11,0.088692569969653,1.07944683015894,0.129653224097766,11,22,0.889737377469325,0.488820223061445,0.00297264110325548,8,13,0.866996804368256,0.738128190020339,0.0093101950255379,7,10,0.813256673004097,1.1961236660706,0.0350206213234321
