ENS,Nt,Ns,beta,as_bare_mass,as_epsilon,t0_GEVP,g5_E0_ti,g5_E0_tf,g5_E0_chisquare/dof,g5_E0,g5_E0_error,g5_E1_ti,g5_E1_tf,g5_E1_chisquare/dof,g5_E1,g5_E1_error,g5_E2_ti,g5_E2_tf,g5_E2_chisquare/dof,g5_E2,g5_E2_error,gi_E0_ti,gi_E0_tf,gi_E0_chisquare/dof,gi_E0,gi_E0_error,gi_E1_ti,gi_E1_tf,gi_E1_chisquare/dof,gi_E1,gi_E1_error,gi_E2_ti,gi_E2_tf,gi_E2_chisquare/dof,gi_E2,gi_E2_error,g0gi_E0_ti,g0gi_E0_tf,g0gi_E0_chisquare/dof,g0gi_E0,g0gi_E0_error,g0gi_E1_ti,g0gi_E1_tf,g0gi_E1_chisquare/dof,g0gi_E1,g0gi_E1_error,g0gi_E2_ti,g0gi_E2_tf,g0gi_E2_chisquare/dof,g0gi_E2,g0gi_E2_error,g5gi_E0_ti,g5gi_E0_tf,g5gi_E0_chisquare/dof,g5gi_E0,g5gi_E0_error,g5gi_E1_ti,g5gi_E1_tf,g5gi_E1_chisquare/dof,g5gi_E1,g5gi_E1_error,g5gi_E2_ti,g5gi_E2_tf,g5gi_E2_chisquare/dof,g5gi_E2,g5gi_E2_error,g0g5gi_E0_ti,g0g5gi_E0_tf,g0g5gi_E0_chisquare/dof,g0g5gi_E0,g0g5gi_E0_error,g0g5gi_E1_ti,g0g5gi_E1_tf,g0g5gi_E1_chisquare/dof,g0g5gi_E1,g0g5gi_E1_error,g0g5gi_E2_ti,g0g5gi_E2_tf,g0g5gi_E2_chisquare/dof,g0g5gi_E2,g0g5gi_E2_error,id_E0_ti,id_E0_tf,id_E0_chisquare/dof,id_E0,id_E0_error,id_E1_ti,id_E1_tf,id_E1_chisquare/dof,id_E1,id_E1_error,id_E2_ti,id_E2_tf,id_E2_chisquare/dof,id_E2,id_E2_error
48x20x20x20b6.5mf0.71mas1.01,48,20,6.5,-1.01,0.12,1,18,23,0.750815118365137,0.601610813562333,0.000912101119498426,7,14,1.4244077861727,0.891049321254044,0.0191875320955911,9,11,0.219097373340283,1.28351579321215,0.0840489794058894,18,23,0.868998438576266,0.645217588011387,0.0012818874757561,7,14,1.33965128138107,0.955736853824892,0.00887046284219518,9,11,0.00567940831357141,1.24217347888466,0.0804739120400397,17,23,0.851203999641243,0.645271132788229,0.00135172093235701,7,14,1.50852997398636,0.949015355002857,0.0104367046686349,9,11,0.205643579687443,1.19878825446127,0.101293821650998,9,18,0.435985079717946,0.829912526698789,0.00816546354877103,6,11,0.48455061036396,1.0631048371532,0.042104207338723,0,0,0,0,0,9,15,0.423934317637144,0.840830329362274,0.00872206385394842,5,12,0.845795552968668,1.14457144521157,0.0105056965362709,6,8,0.190077107470609,1.58767325342211,0.0652450465346467,8,17,0.7734488176739,0.795720725125298,0.0083001724294807,7,11,0.0445825923066111,1.0521066989144,0.0190449177719767,6,9,0.168320820967626,1.49732464687212,0.0470243967896809
64x20x20x20b6.5mf0.70mas1.01,64,20,6.5,-1.01,0.12,1,24,29,0.390883074321373,0.628021385532742,0.000941930477608452,7,16,0.697857308956743,0.933145127258796,0.0132058144059646,9,12,0.111025784650633,1.18211418346598,0.0529152543997932,25,31,0.475928407232781,0.674136364846897,0.00129708310678089,7,13,0.599630506980354,0.961465521816563,0.00760924829639106,9,12,0.0709903373511425,1.19851975411192,0.0646950918676016,25,31,0.519582472592118,0.674200738382329,0.00136596783164381,7,13,0.510828380961215,0.957183867827867,0.00939321680521588,9,11,0.0248000680498912,1.19482880060808,0.084281066395286,7,16,0.434059771790245,0.879310953286236,0.00550269201450831,7,10,0.209005414652133,1.11920799338908,0.0141512686807083,0,0,0,0,0,7,15,0.675640571910386,0.879702395366931,0.00668325192903697,7,9,0.0281323828701088,1.12825741222871,0.0201446502256394,0,0,0,0,0,8,18,1.42722168225604,0.854041904567674,0.00903590109817898,7,11,0.677159735827327,1.10120071349213,0.0182198853218991,0,0,0,0,0
64x20x20x20b6.5mf0.71mas1.01,64,20,6.5,-1.01,0.12,1,24,31,0.336528751405929,0.600705423996189,0.00114255193706579,7,15,0.42058882760805,0.895133935617561,0.0162863635723433,8,11,0.07143659816571,1.25623590726707,0.0350208595576001,25,31,0.287010181704638,0.642178779441386,0.00131585008570535,8,16,0.258551416688229,0.929867370338379,0.00896799620847961,8,11,0.0854126537185556,1.24141354114263,0.0371420192212992,20,30,0.415529695746326,0.640694107962111,0.00103087111054849,8,16,0.261215799414166,0.929695043034233,0.0108366109734947,8,11,0.0512548832462145,1.20991650493689,0.0500673669659739,8,19,0.727540368754273,0.821214710975859,0.0112122656184478,8,13,0.891525495157551,1.08718301202493,0.0141803729334891,0,0,0,0,0,8,17,0.520180900275356,0.834280595782472,0.0152149868646214,8,10,0.091507225491685,1.07634493484081,0.0284002036991742,0,0,0,0,0,8,18,0.514529103327299,0.782015870053128,0.00967274455493081,8,12,0.904479708612644,1.05316120763747,0.0123908606417072,0,0,0,0,0
64x32x32x32b6.5mf0.72mas1.01,64,32,6.5,-1.01,0.12,1,22,30,0.84925053476665,0.578532367741073,0.00041867337962911,7,13,0.213735027408416,0.87884720315148,0.00762954820412201,0,0,0,0,0,15,24,0.913490470206681,0.620602449277292,0.000891883372545689,8,15,0.779680383785897,0.904742644644647,0.0103629971916588,8,10,0.0245668541811693,1.29347701218522,0.046902975584939,15,24,0.874457124545782,0.620660087435646,0.000966606680017561,8,14,0.605845688287926,0.899360230939812,0.0132786906834086,8,10,0.258109215906218,1.2103802415511,0.0532790245417406,7,12,0.198231948340918,0.798303108365482,0.0041184734835175,9,14,0.259733574895484,1.00728633319026,0.0201654600811864,0,0,0,0,0,9,15,0.640809218115519,0.809516410105354,0.0048140052287853,8,14,0.0422222832526011,1.03312987493798,0.0141300803139617,0,0,0,0,0,7,14,0.316838880728686,0.76741590441671,0.00301606425676593,7,10,0.228335047508128,1.00012179930086,0.0151010417128502,0,0,0,0,0
96x20x20x20b6.5mf0.71mas1.01,96,20,6.5,-1.01,0.12,1,31,43,0.612924200972043,0.601313773216454,0.000581110895446328,10,13,0.227767885414477,0.911722785114697,0.00943814001220751,8,11,0.0975091285075988,1.28279165568295,0.0420082463201057,30,35,0.158902847039332,0.6468668909849,0.00206592578327396,10,13,0.144318107017693,0.945917754767078,0.0223570496255363,0,0,0,0,0,30,37,0.348319972162342,0.646457271908334,0.00186384414083808,10,13,0.190412673836688,0.936949433723916,0.0264453298508321,0,0,0,0,0,12,20,0.520553427457997,0.834923169086975,0.00651858931044966,6,11,0.821138700613273,1.11017755299641,0.0152319786744956,0,0,0,0,0,10,17,0.770188648830414,0.843012914534322,0.00742967459300727,6,11,0.408106806014844,1.11510279959851,0.0201032394062787,0,0,0,0,0,12,21,0.555242712452377,0.788130688060658,0.0120132682139666,6,10,0.496315238987052,1.04539462894382,0.0461935030621727,0,0,0,0,0
