# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.2749769308082649 2.13623046875 1.1578150820551813e-07 1.2927259556687683e-09 3.6365412536736254e-10 1.3429016044954417e-09 0.00020392656187856646
0.438653675336994 0.5340576171875 2.4676211309785264e-07 2.9534674834390142e-09 7.929804925970029e-10 3.058069364381876e-09 6.293225624126528e-05
0.6023304198657231 0.05245208740234375 4.445552640772643e-07 7.551020238165692e-09 2.7896792302252867e-09 8.049858187865064e-09 0.1642401962072014
0.7660071643944522 0.05245208740234375 6.104545624396564e-07 1.4661073108464971e-08 1.3119724982417303e-08 1.9674202609153425e-08 0.29182533901745367
0.9296839089231813 0.133514404296875 6.22647749845315e-07 1.6250352972397158e-08 2.1541468644738147e-08 2.698349204791207e-08 0.0017840046280987118
1.0933606534519105 0.05245208740234375 5.386105224705558e-07 3.243322534641133e-08 4.967003167753717e-09 3.281135819864172e-08 0.5075246808041939
1.2570373979806395 0.05245208740234375 5.361115822002538e-07 4.573596144838651e-08 1.1644151046665349e-07 1.2510157284928146e-07 0.6181048747614641
1.4207141425093686 0.05245208740234375 7.073673868508831e-07 4.832709445698533e-08 1.989079214071607e-07 2.0469457554408128e-07 0.7178607521998881
1.5843908870380976 0.05245208740234375 9.034983788903756e-07 4.841362624487524e-08 1.3250421941316637e-07 1.410717809077032e-07 0.794972939582353
1.7480676315668267 0.05245208740234375 8.997936020894612e-07 6.079030299178862e-08 8.134528991057234e-08 1.0155056439266364e-07 0.849656774845651
1.9117443760955557 0.05245208740234375 5.994991990415632e-07 7.114154834436623e-08 3.256395681792062e-07 3.333200387987102e-07 0.8869894057736948
2.075421120624285 0.05245208740234375 7.174048706088352e-08 6.813738625706475e-08 4.770982421711816e-07 4.819392452257607e-07 0.9120673346647087
2.2390978651530142 0.05245208740234375 -5.364845431209331e-07 5.430729795941351e-08 4.837584452001418e-07 4.867972020401423e-07 0.9287854800500575
2.4027746096817433 0.05245208740234375 -1.092371336842801e-06 3.8542124847659555e-08 3.6582018098862927e-07 3.678449404386664e-07 0.9398879190482525
2.5664513542104723 0.05245208740234375 -1.5180652095454393e-06 3.124083920302971e-08 1.777783256087828e-07 1.8050241851668347e-07 0.9472478122589896
