# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.2749769308082649 0.05245208740234375 1.974733088247737e-07 7.678856320549637e-09 2.292652965300606e-09 8.013806337249908e-09 0.06373178679847162
0.438653675336994 0.133514404296875 3.702015414549942e-07 7.242294663337364e-09 2.0974095081214093e-09 7.539891155405557e-09 0.003252363939331929
0.6023304198657231 0.05245208740234375 9.54049650887994e-07 2.8031204688244538e-08 1.878031919674926e-08 3.37409072996867e-08 4.737974421443131
0.7660071643944522 0.05245208740234375 1.868461828005411e-06 5.9024366272497114e-08 7.560582357499719e-08 9.591723709700721e-08 7.609220182141379
0.9296839089231813 0.05245208740234375 1.7924014521025121e-06 5.6562732864021155e-08 3.586251111726874e-07 3.630582778462282e-07 8.498612897911784
1.0933606534519105 0.05245208740234375 1.6899073014818603e-06 8.44705351502997e-08 1.1718380787633682e-07 1.4445523921608464e-07 8.869798186433547
1.2570373979806395 0.05245208740234375 2.1528707405800146e-06 7.957852258872257e-08 7.030851874687697e-07 7.075743933293507e-07 9.093488127892455
1.4207141425093686 0.05245208740234375 2.3510619985255685e-06 6.958280142298655e-08 4.615818309289746e-07 4.6679712177520467e-07 9.240393576956315
1.5843908870380976 0.05245208740234375 1.7831892031764506e-06 7.704899355141304e-08 2.7387105504773366e-07 2.845029036762972e-07 9.337050513160703
1.7480676315668267 0.05245208740234375 6.275932494760912e-07 7.511490102869664e-08 8.769178414315331e-07 8.801290524562238e-07 9.400230283677738
1.9117443760955557 0.05245208740234375 -7.064938156623801e-07 6.13961771086026e-08 1.0672501721740636e-06 1.0690146961427234e-06 9.441407395754633
2.075421120624285 0.05245208740234375 -1.8970381101637357e-06 4.694664113563404e-08 8.842248230500343e-07 8.854702280775919e-07 9.46826595053757
2.2390978651530142 0.05245208740234375 -2.78539755733244e-06 4.1611104050802404e-08 4.895874068538074e-07 4.91352534266551e-07 9.485840772174546
2.4027746096817433 0.05245208740234375 -3.339923094466009e-06 4.485898433339241e-08 3.709287951897424e-08 5.820833433824305e-08 9.497392477831577
2.5664513542104723 0.05245208740234375 -3.5993377350860956e-06 4.967903386018938e-08 3.728543256424555e-07 3.761493779811049e-07 9.50502420356833
