# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.20529124800336718 0.06666666666666668 2.4056147033633356e-06 8.608263841814584e-08 8.923319844376285e-07 8.96474534544861e-07 0.001234441377317553
0.36496221867265277 0.06666666666666668 3.7897466529263706e-07 1.2802823160789099e-07 1.0733257586737007e-07 1.6706738140932396e-07 0.0006980745592319327
0.5246331893419384 0.06666666666666668 -1.7272301360987846e-06 2.9465674775604803e-07 4.711891232356339e-07 5.557353586499034e-07 0.004577170981071089
0.684304160011224 0.06666666666666668 -1.718918330557144e-05 6.014066314003066e-07 5.119027064964261e-06 5.1542339904324175e-06 0.03506717879222211
0.8439751306805096 0.06666666666666668 -2.1390283587138425e-05 7.220452779495404e-07 7.292380699720022e-06 7.328039686918891e-06 0.15213851021390712
1.003646101349795 0.06666666666666668 -1.3797542460337412e-05 1.2358519066364967e-06 1.3831080812530733e-05 1.3886184730799633e-05 0.3474557806372783
1.1633170720190806 0.06666666666666668 -5.859836115953377e-05 1.2881743230872958e-06 3.0339762187977627e-05 3.0367096711896882e-05 0.7548277084579957
1.3229880426883662 0.06666666666666668 -0.00010584036384165996 1.3575389452659064e-06 3.5782696774725324e-05 3.580843895592004e-05 1.3440146261139576
1.4826590133576518 0.06666666666666668 -0.00010021453654867566 1.4719256780636937e-06 1.5904082016966205e-05 1.597205027553229e-05 1.8657726673940327
1.6423299840269374 0.06666666666666668 -4.5710863908395424e-05 1.4260614500507152e-06 7.105813225218972e-05 7.107244058303476e-05 2.4390667446801073
